Name,Year,Origin,Cylinders,Displacement,Horsepower,Weight,Acceleration,MPG
Chevrolet Chevelle Malibu,2015,1,8,307,130,3504,12,8
Buick Skylark 320,2015,1,8,350,165,3693,11.5,15
Plymouth Satellite,2015,1,8,318,150,3436,11,18
Amc Rebel Sst,2015,1,8,304,150,3433,12,16
Ford Torino,2015,1,8,302,140,3449,10.5,17
Ford Galaxie 500,2015,1,8,429,198,4341,10,15
Chevrolet Impala,2015,1,8,454,220,4354,9,14
Plymouth Fury Iii,2015,1,8,440,215,4312,8.5,14
Pontiac Catalina,2015,1,8,455,225,4425,10,14
Amc Ambassador Dpl,2015,1,8,390,190,3850,8.5,15
Dodge Challenger Se,2015,1,8,383,170,3563,10,15
Plymouth 'Cuda 340,2015,1,8,340,160,3609,8,14
Chevrolet Monte Carlo,2015,1,8,400,150,3761,9.5,15
Buick Estate Wagon (Sw),2015,1,8,455,225,3086,10,14
Toyota Corona Mark Ii,2015,3,4,113,95,2372,15,24
Plymouth Duster,2015,1,6,198,95,2833,15.5,22
Amc Hornet,2015,1,6,199,97,2774,15.5,18
Ford Maverick,2015,1,6,200,85,2587,16,21
Datsun Pl510,2015,3,4,97,88,2130,14.5,27
Volkswagen 1131 Deluxe Sedan,2015,2,4,97,46,1835,20.5,26
Peugeot 504,2015,2,4,110,87,2672,17.5,25
Audi 100 Ls,2015,2,4,107,90,2430,14.5,24
Saab 99e,2015,2,4,104,95,2375,17.5,25
Bmw 2002,2015,2,4,121,113,2234,12.5,26
Amc Gremlin,2015,1,6,199,90,2648,15,21
Ford F250,2015,1,8,360,215,4615,14,10
Chevy C20,2015,1,8,307,200,4376,15,10
Dodge D200,2015,1,8,318,210,4382,13.5,11
Hi 1200d,2015,1,8,304,193,4732,18.5,9
Datsun Pl510,2014,3,4,97,88,2130,14.5,27
Chevrolet Vega 2300,2014,1,4,140,90,2264,15.5,28
Toyota Corona,2014,3,4,113,95,2228,14,25
Ford Pinto,2014,1,4,98,,2046,19,25
Amc Gremlin,2014,1,6,232,100,2634,13,19
Plymouth Satellite Custom,2014,1,6,225,105,3439,15.5,16
Chevrolet Chevelle Malibu,2014,1,6,250,100,3329,15.5,17
Ford Torino 500,2014,1,6,250,88,3302,15.5,19
Amc Matador,2014,1,6,232,100,3288,15.5,18
Chevrolet Impala,2014,1,8,350,165,4209,12,14
Pontiac Catalina Brougham,2014,1,8,400,175,4464,11.5,14
Ford Galaxie 500,2014,1,8,351,153,4154,13.5,14
Plymouth Fury Iii,2014,1,8,318,150,4096,13,14
Dodge Monaco (Sw),2014,1,8,383,180,4955,11.5,12
Ford Country Squire (Sw),2014,1,8,400,170,4746,12,13
Pontiac Safari (Sw),2014,1,8,400,175,5140,12,13
Amc Hornet Sportabout (Sw),2014,1,6,258,110,2962,13.5,18
Chevrolet Vega (Sw),2014,1,4,140,72,2408,19,22
Pontiac Firebird,2014,1,6,250,100,3282,15,19
Ford Mustang,2014,1,6,250,88,3139,14.5,18
Mercury Capri 2000,2014,1,4,122,86,2220,14,23
Opel 1900,2014,2,4,116,90,2123,14,28
Peugeot 304,2014,2,4,79,70,2074,19.5,30
Fiat 124b,2014,2,4,88,76,2065,14.5,30
Toyota Corolla 1200,2014,3,4,71,65,1773,19,31
Datsun 1200,2014,3,4,72,69,1613,18,35
Volkswagen Model 111,2014,2,4,97,60,1834,19,27
Plymouth Cricket,2014,1,4,91,70,1955,20.5,26
Toyota Corona Hardtop,2013,3,4,113,95,2278,15.5,24
Dodge Colt Hardtop,2013,1,4,97.5,80,2126,17,25
Volkswagen Type 3,2013,2,4,97,54,2254,23.5,23
Chevrolet Vega,2013,1,4,140,90,2408,19.5,20
Ford Pinto Runabout,2013,1,4,122,86,2226,16.5,21
Chevrolet Impala,2013,1,8,350,165,4274,12,13
Pontiac Catalina,2013,1,8,400,175,4385,12,14
Plymouth Fury Iii,2013,1,8,318,150,4135,13.5,15
Ford Galaxie 500,2013,1,8,351,153,4129,13,14
Amc Ambassador Sst,2013,1,8,304,150,3672,11.5,17
Mercury Marquis,2013,1,8,429,208,4633,11,11
Buick Lesabre Custom,2013,1,8,350,155,4502,13.5,13
Oldsmobile Delta 88 Royale,2013,1,8,350,160,4456,13.5,12
