Fen
ปี: 2560, เงินเดือนรายปี: 1100000, โบนัสเงินเดือน: , รายได้อื่นๆ: , ภาษีที่ลดหย่อน: 760000, ภาษีที่ต้องจ่าย: 11500, ลดหย่อนครอบครัว: 180000, ลดหย่อนกองทุน: 180000, ลดหย่อนประกัน: 80000, ลดหย่อนอื่นๆ: 320000, ภาษีที่ลดหย่อนคงเหลือ: 924000
ปี: 2549, เงินเดือนรายปี : 1180000, โบนัสเงินเดือน : 53000, รายได้อื่นๆ : 46000, ลดหย่อนครอบครัว : 59000, ลดหย่อนกองทุน : 285000, ลดหย่อนประกัน : 178000, ลดหย่อนอื่นๆ: 315000, ภาษีที่ลดหย่อนรวม : 837000, ภาษีที่ลดหย่อนคงเหลือ : 20000, ภาษีที่ต้องจ่าย : 13500
ปี: 2548, เงินเดือนรายปี : 1101100, โบนัสเงินเดือน : 1000, รายได้อื่นๆ : 100, ภาษีที่ลดหย่อน : 496100, ภาษีที่ต้องจ่าย : 43250, ลดหย่อนครอบครัว : 390000, ลดหย่อนกองทุน : 2100, ลดหย่อนประกัน : 101000, ลดหย่อนอื่นๆ : 3000, ภาษีที่ลดหย่อนคงเหลือ : 1187900
ปี: 2552, เงินเดือนรายปี : 1100200, โบนัสเงินเดือน : 100, รายได้อื่นๆ : 100, ภาษีที่ลดหย่อน : 752400, ภาษีที่ต้องจ่าย : 12280, ลดหย่อนครอบครัว : 270000, ลดหย่อนกองทุน : 182400, ลดหย่อนประกัน : 300000, ลดหย่อนอื่นๆ : 0, ภาษีที่ลดหย่อนคงเหลือ : 931600
ปี: 2553, เงินเดือนรายปี : 1100000, โบนัสเงินเดือน : , รายได้อื่นๆ : , ภาษีที่ลดหย่อน : 734200, ภาษีที่ต้องจ่าย : 14080, ลดหย่อนครอบครัว : 180000, ลดหย่อนกองทุน : 191000, ลดหย่อนประกัน : 300000, ลดหย่อนอื่นๆ : 63200, ภาษีที่ลดหย่อนคงเหลือ : 949800
ปี: 2555, เงินเดือนรายปี : 1100000, โบนัสเงินเดือน : , รายได้อื่นๆ : , ภาษีที่ลดหย่อน : 640000, ภาษีที่ต้องจ่าย : 23500, ลดหย่อนครอบครัว : 180000, ลดหย่อนกองทุน : 180000, ลดหย่อนประกัน : 280000, ลดหย่อนอื่นๆ : 0, ภาษีที่ลดหย่อนคงเหลือ : 1044000
ปี: 2556, เงินเดือนรายปี : 600000, โบนัสเงินเดือน : 3000, รายได้อื่นๆ : 2000, ลดหย่อนครอบครัว : 330000, ลดหย่อนกองทุน : 26000, ลดหย่อนประกัน : 120000, ลดหย่อนอื่นๆ : 41200, ภาษีที่ลดหย่อนรวม : 517200, ภาษีที่ลดหย่อนคงเหลือ : 0, ภาษีที่ต้องจ่าย : 0
ปี: 2550, เงินเดือนรายปี : 1250000, โบนัสเงินเดือน : 54000, รายได้อื่นๆ : 49000, ลดหย่อนครอบครัว : 62000, ลดหย่อนกองทุน : 300000, ลดหย่อนประกัน : 185000, ลดหย่อนอื่นๆ : 330000, ภาษีที่ลดหย่อนรวม : 877000, ภาษีที่ลดหย่อนคงเหลือ : 0, ภาษีที่ต้องจ่าย : 16000
ปี: 2551, เงินเดือนรายปี : 1102000, โบนัสเงินเดือน : 1000, รายได้อื่นๆ : 1000, ภาษีที่ลดหย่อน : 982400, ภาษีที่ต้องจ่าย : 0, ลดหย่อนครอบครัว : 180000, ลดหย่อนกองทุน : 182400, ลดหย่อนประกัน : 300000, ลดหย่อนอื่นๆ : 320000, ภาษีที่ลดหย่อนคงเหลือ : 701600

pp
